,log
0,data added to csv with 38 rows on 2020-05-30 at 19:40:50.675028
0,data added to csv with 38 rows on 2020-05-30 at 19:50:45.521697
0,data added to csv with 38 rows on 2020-05-31 at 00:41:30.430596
0,data added to csv with 38 rows on 2020-05-31 at 00:43:58.788263
0,data added to csv with 38 rows on 2020-05-31 at 00:47:45.387934
0,data added to csv with 38 rows on 2020-05-31 at 00:57:34.500343
0,data added to csv with 38 rows on 2020-05-31 at 00:59:21.290481
0,data added to csv with 38 rows on 2020-05-31 at 00:59:37.616796
0,data added to csv with 38 rows on 2020-05-31 at 01:02:05.662746
0,data added to csv with 38 rows on 2020-05-31 at 01:03:26.147417
0,data added to csv with 38 rows on 2020-05-31 at 01:05:58.168740
0,data added to csv with 38 rows on 2020-05-31 at 01:06:16.395356
0,data added to csv with 38 rows on 2020-05-31 at 01:07:45.844376
0,data added to csv with 38 rows on 2020-05-31 at 01:09:58.263663
0,data added to csv with 38 rows on 2020-06-02 at 13:57:49.176330
0,data added to csv with 38 rows on 2020-06-02 at 13:58:00.434743
0,data added to csv with 38 rows on 2020-06-02 at 13:58:12.322680
0,data added to csv with 38 rows on 2020-06-02 at 13:58:49.353998
0,data added to csv with 38 rows on 2020-06-02 at 13:59:01.679862
0,data added to csv with 38 rows on 2020-06-02 at 13:59:13.353278
0,data added to csv with 38 rows on 2020-06-02 at 13:59:24.375474
0,data added to csv with 38 rows on 2020-06-02 at 14:00:24.527293
0,data added to csv with 38 rows on 2020-06-02 at 14:00:49.006062
0,data added to csv with 38 rows on 2020-06-02 at 14:02:00.090682
0,data added to csv with 38 rows on 2020-06-02 at 14:02:36.940944
0,data added to csv with 38 rows on 2020-06-02 at 14:03:12.579858
0,data added to csv with 38 rows on 2020-06-02 at 14:03:48.634386
0,data added to csv with 38 rows on 2020-06-02 at 14:04:25.284380
0,data added to csv with 38 rows on 2020-06-02 at 14:05:00.287956
0,data added to csv with 38 rows on 2020-06-02 at 14:05:36.648450
0,data added to csv with 38 rows on 2020-06-02 at 14:06:12.817184
0,data added to csv with 38 rows on 2020-06-02 at 14:16:18.313469
0,data added to csv with 38 rows on 2020-06-02 at 14:16:30.478275
0,data added to csv with 38 rows on 2020-06-02 at 14:17:12.981116
